id_ruta,Destino,Llegada
Jun-Lim,Junin,Lima
Lim-Hua,Lima,Huancavelica
Jun-Are,Junin,Arequipa
Ama-Lor,Amazonas,Loreto
Pas-Pun,Pasco,Puno
Pas-Ama,Pasco,Amazonas
Lam-Pun,Lambayeque,Puno
Aya-Mad,Ayacucho,Madre De Dios
Caj-Tum,Cajamarca,Tumbes
San-Hua,San Martin,Huanuco
Aya-Tac,Ayacucho,Tacna
Lam-Jun,Lambayeque,Junin
San-Tac,San Martin,Tacna
Pas-Lam,Pasco,Lambayeque
Ica-Lam,Ica,Lambayeque
Anc-Tac,Ancash,Tacna
Apu-Lor,Apurimac,Loreto
Cus-Lor,Cusco,Loreto
Pun-Ica,Puno,Ica
Cal-Lam,Callao,Lambayeque
Caj-Uca,Cajamarca,Ucayali
Mad-Pun,Madre De Dios,Puno
San-Pun,San Martin,Puno
Jun-Anc,Junin,Ancash
Pas-Hua,Pasco,Huancavelica
Lam-Uca,Lambayeque,Ucayali
Cus-Are,Cusco,Arequipa
Lam-Caj,Lambayeque,Cajamarca
Ama-Cal,Amazonas,Callao
Pas-Jun,Pasco,Junin
Piu-San,Piura,San Martin
Ica-Tum,Ica,Tumbes
Lam-Moq,Lambayeque,Moquegua
Lam-Hua,Lambayeque,Huanuco
Apu-San,Apurimac,San Martin
Tac-Hua,Tacna,Huanuco
Tum-Lor,Tumbes,Loreto
Cal-Piu,Callao,Piura
Ica-Pas,Ica,Pasco
Tum-Cal,Tumbes,Callao
Are-Jun,Arequipa,Junin
Caj-Ica,Cajamarca,Ica
Lim-Pas,Lima,Pasco
Pas-Moq,Pasco,Moquegua
Anc-Jun,Ancash,Junin
Are-Tac,Arequipa,Tacna
Ica-Lor,Ica,Loreto
Pun-Tum,Puno,Tumbes
Cus-Jun,Cusco,Junin
Hua-La ,Huanuco,La Libertad
Tum-Cus,Tumbes,Cusco
Uca-Caj,Ucayali,Cajamarca
Aya-La ,Ayacucho,La Libertad
Ama-Apu,Amazonas,Apurimac
Pas-Caj,Pasco,Cajamarca
Lor-Ama,Loreto,Amazonas
Lor-Cal,Loreto,Callao
San-Ica,San Martin,Ica
Tum-Tac,Tumbes,Tacna
Uca-Are,Ucayali,Arequipa
Pun-Hua,Puno,Huanuco
Hua-Are,Huanuco,Arequipa
Are-Piu,Arequipa,Piura
Moq-Lor,Moquegua,Loreto
Are-Lor,Arequipa,Loreto
Tac-Apu,Tacna,Apurimac
Tac-Are,Tacna,Arequipa
Lim-Tac,Lima,Tacna
Caj-Hua,Cajamarca,Huanuco
Apu-Tac,Apurimac,Tacna
Ica-Pun,Ica,Puno
Aya-Hua,Ayacucho,Huancavelica
Caj-Apu,Cajamarca,Apurimac
Caj-Aya,Cajamarca,Ayacucho
Cal-Apu,Callao,Apurimac
Lor-Uca,Loreto,Ucayali
Pun-Ama,Puno,Amazonas
Apu-Ama,Apurimac,Amazonas
Lor-Tac,Loreto,Tacna
La -Lor,La Libertad,Loreto
Anc-Hua,Ancash,Huanuco
Pas-Mad,Pasco,Madre De Dios
Hua-Anc,Huanuco,Ancash
Apu-Lam,Apurimac,Lambayeque
Tum-La ,Tumbes,La Libertad
Ica-Apu,Ica,Apurimac
Pun-Pas,Puno,Pasco
Uca-Lam,Ucayali,Lambayeque
Caj-Lor,Cajamarca,Loreto
Lim-Apu,Lima,Apurimac
Lor-Piu,Loreto,Piura
Lor-Pun,Loreto,Puno
Ica-Jun,Ica,Junin
Lim-Cal,Lima,Callao
Aya-Ama,Ayacucho,Amazonas
Lor-Cus,Loreto,Cusco
San-Anc,San Martin,Ancash
La -Piu,La Libertad,Piura
Tac-Pas,Tacna,Pasco
Hua-Aya,Huanuco,Ayacucho
Hua-Apu,Huanuco,Apurimac
Moq-Lim,Moquegua,Lima
Hua-Tum,Huanuco,Tumbes
La -Tac,La Libertad,Tacna
La -Are,La Libertad,Arequipa
Are-Mad,Arequipa,Madre De Dios
Caj-La ,Cajamarca,La Libertad
Tum-San,Tumbes,San Martin
Mad-Pas,Madre De Dios,Pasco
Jun-Lam,Junin,Lambayeque
San-Uca,San Martin,Ucayali
La -Caj,La Libertad,Cajamarca
Anc-Cal,Ancash,Callao
Piu-Lor,Piura,Loreto
Mad-Aya,Madre De Dios,Ayacucho
Lor-Aya,Loreto,Ayacucho
Are-Apu,Arequipa,Apurimac
Hua-Hua,Huanuco,Huancavelica
San-Lor,San Martin,Loreto
Tac-San,Tacna,San Martin
Jun-Pas,Junin,Pasco
Pas-Ica,Pasco,Ica
Are-Hua,Arequipa,Huancavelica
Anc-Mad,Ancash,Madre De Dios
Tac-Tum,Tacna,Tumbes
Lor-Hua,Loreto,Huanuco
Are-Moq,Arequipa,Moquegua
Cal-Uca,Callao,Ucayali
Aya-Uca,Ayacucho,Ucayali
Piu-Ama,Piura,Amazonas
Lim-Mad,Lima,Madre De Dios
San-Apu,San Martin,Apurimac
Jun-Lor,Junin,Loreto
Anc-Moq,Ancash,Moquegua
Hua-San,Huanuco,San Martin
Are-Uca,Arequipa,Ucayali
Cus-Hua,Cusco,Huancavelica
Pas-Uca,Pasco,Ucayali
Hua-Mad,Huancavelica,Madre De Dios
Aya-Tum,Ayacucho,Tumbes
Ama-Hua,Amazonas,Huancavelica
Ama-Piu,Amazonas,Piura
Ica-Mad,Ica,Madre De Dios
Ica-Cal,Ica,Callao
Piu-Uca,Piura,Ucayali
Tum-Hua,Tumbes,Huancavelica
Anc-Lor,Ancash,Loreto
Cus-La ,Cusco,La Libertad
Lam-Ica,Lambayeque,Ica
Jun-Pun,Junin,Puno
Pun-Cus,Puno,Cusco
Tac-Cal,Tacna,Callao
Jun-Cus,Junin,Cusco
Tac-Lor,Tacna,Loreto
Piu-Ica,Piura,Ica
Uca-Cus,Ucayali,Cusco
Piu-Pun,Piura,Puno
Cal-Moq,Callao,Moquegua
Aya-Pun,Ayacucho,Puno
Piu-Cus,Piura,Cusco
Lam-Are,Lambayeque,Arequipa
Piu-Anc,Piura,Ancash
Tac-Jun,Tacna,Junin
Lim-San,Lima,San Martin
Moq-Anc,Moquegua,Ancash
Mad-San,Madre De Dios,San Martin
San-Jun,San Martin,Junin
Cal-San,Callao,San Martin
Pun-Apu,Puno,Apurimac
Pas-Anc,Pasco,Ancash
Tac-Uca,Tacna,Ucayali
Tum-Mad,Tumbes,Madre De Dios
Cal-Jun,Callao,Junin
Lam-La ,Lambayeque,La Libertad
Tum-Are,Tumbes,Arequipa
Ica-Moq,Ica,Moquegua
Aya-Lor,Ayacucho,Loreto
Hua-Ama,Huanuco,Amazonas
San-Ama,San Martin,Amazonas
Lam-Aya,Lambayeque,Ayacucho
Jun-Aya,Junin,Ayacucho
Lim-La ,Lima,La Libertad
Cus-Lim,Cusco,Lima
Aya-Cus,Ayacucho,Cusco
Pas-Lim,Pasco,Lima
Apu-Uca,Apurimac,Ucayali
Caj-Lam,Cajamarca,Lambayeque
Hua-Cal,Huanuco,Callao
Apu-Hua,Apurimac,Huancavelica
Mad-Jun,Madre De Dios,Junin
Ama-Are,Amazonas,Arequipa
Lor-Mad,Loreto,Madre De Dios
Lim-Moq,Lima,Moquegua
Jun-Piu,Junin,Piura
Hua-Lim,Huancavelica,Lima
Apu-Are,Apurimac,Arequipa
Aya-Cal,Ayacucho,Callao
San-Aya,San Martin,Ayacucho
Pun-La ,Puno,La Libertad
Lim-Jun,Lima,Junin
Piu-Lim,Piura,Lima
Cal-Hua,Callao,Huancavelica
Are-Lam,Arequipa,Lambayeque
Mad-Lam,Madre De Dios,Lambayeque
San-Pas,San Martin,Pasco
Moq-Pas,Moquegua,Pasco
Caj-San,Cajamarca,San Martin
Cal-Mad,Callao,Madre De Dios
Jun-Ama,Junin,Amazonas
Cal-Are,Callao,Arequipa
Lam-Lim,Lambayeque,Lima
Cal-Cus,Callao,Cusco
Aya-Lim,Ayacucho,Lima
Jun-Hua,Junin,Huanuco
Piu-Tum,Piura,Tumbes
Hua-Uca,Huanuco,Ucayali
Anc-Apu,Ancash,Apurimac
Are-La ,Arequipa,La Libertad
Aya-Jun,Ayacucho,Junin
Lor-Moq,Loreto,Moquegua
Apu-Aya,Apurimac,Ayacucho
Hua-Lor,Huanuco,Loreto
Pun-Lor,Puno,Loreto
Tac-Ama,Tacna,Amazonas
Hua-Jun,Huanuco,Junin
La -Hua,La Libertad,Huancavelica
Piu-Cal,Piura,Callao
Cus-Aya,Cusco,Ayacucho
Moq-Hua,Moquegua,Huancavelica
Cal-Tac,Callao,Tacna
Tum-Ica,Tumbes,Ica
Aya-Ica,Ayacucho,Ica
Ama-Caj,Amazonas,Cajamarca
Uca-Hua,Ucayali,Huancavelica
Moq-Pun,Moquegua,Puno
Uca-Apu,Ucayali,Apurimac
Piu-Jun,Piura,Junin
Anc-Piu,Ancash,Piura
Jun-Apu,Junin,Apurimac
Tum-Jun,Tumbes,Junin
Hua-Tac,Huanuco,Tacna
Cal-Ica,Callao,Ica
Piu-Tac,Piura,Tacna
Ama-Pun,Amazonas,Puno
Ama-Aya,Amazonas,Ayacucho
Uca-San,Ucayali,San Martin
Lor-Caj,Loreto,Cajamarca
Uca-Jun,Ucayali,Junin
Ama-Pas,Amazonas,Pasco
Lor-Anc,Loreto,Ancash
Hua-Pas,Huanuco,Pasco
Apu-Lim,Apurimac,Lima
Aya-Piu,Ayacucho,Piura
Mad-Uca,Madre De Dios,Ucayali
San-Are,San Martin,Arequipa
Pas-Tum,Pasco,Tumbes
Hua-Moq,Huanuco,Moquegua
La -Ica,La Libertad,Ica
Ica-Aya,Ica,Ayacucho
Lam-San,Lambayeque,San Martin
La -Tum,La Libertad,Tumbes
Piu-Apu,Piura,Apurimac
Cus-Uca,Cusco,Ucayali
Moq-Ama,Moquegua,Amazonas
