Nombre,Direccion,Telefono
Chiclayo, AV. GRAU 497,  074 233612
Chimbote, Av. Francisco Bolognesi Nº 735 // TERMINAL TERRESTRE EL CHIMBADOR - Vía auxiliar Panamericana Norte,  043-347272
Lima, AV. PASEO DE LA REPUBLICA 809 - LIMA LA VICTORIA,  01 4235232
Plaza Norte, Plaza Norte. Av. Tomás Valle y Alfredo Mendiola (Panamericana Norte),  01-7191296
Máncora, Av. Grau 624 - MANCORA,  073 290651
Los Organos, CALLE MIRAFLORES Nª 610 BARRIO MIRAFLORES,  949318144
Paita Terminal, CARRETERA PAITA-PIURA INT A-2 TERMINAL TERRESTRE,  073 214220
Paita, JR. ZANJON 401 - PAITA,  073 211563
Piura Terminal, Av. Avelino Cáceres Mz.249 Lt. 02 Zona Industrial - Piura,  073 321309
Sullana, AV. PANAMERICANA 1223 - SULLANA,  073 508102
Talara, AV. GRAÑA F Int. 07 - TALARA,  073 384900
Oficina Juan Pablo, AV. JUAN PABLO II 1110 - TRUJILLO,  044 284644
Terrapuerto Trujillo, CAR. PANAMERICANA NORTE 13 KM. 558 - TRUJILLO,  044 294808
Oficina Bolivar, JR. BOLIVAR 527 - TRUJILLO,  044 242239
Tumbes, AV. TUMBES 1321 - TUMBES,  072 280204
